scientificName,vernacularName,namePublishedIn,custom_TaxonAsRecorded,basisOfRecord,eventDate,locality,locationID,fieldNotes,custom_TransectStartLatitude,custom_TransectStartLongitude,custom_TransectEndLatitude,custom_TransectEndLongitude,geodeticDatum,coordinateUncertaintyInMeters,locationRemarks,verbatimCoordinates,verbatimCoordinateSystem,verbatimSRS,individualCount,custom_CoordinateBearing,custom_Transect,custom_InterceptPoint,decimalLongitude,decimalLatitude,taxonRank,coordinate_flag,taxonomic_flag,eventDate_flag
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2003-02-13,BICY,478-15,NA,25.9287,-81.0161,25.9302,-81.0177,WGS84,314,Cell #AL38,"17N 2867787 E, 498386 N",UTM,WGS84,1,320,478,15,-81.01634061740384,25.92895929639368,species,A,A,A
Spiranthes odorata,"Fragrant lady's-tresses, Marsh lady's-tresses",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,spirodor,Human Observation,2003-02-20,BICY,496-85,NA,25.9524,-80.9397,25.9546,-80.9388,WGS84,314,Cell #AT35,"17N 2870419 E, 506034 N",UTM,WGS84,1,25,496,85,-80.93880333997689,25.95413837738667,species,A,A,A
Ficus aurea,"Strangler fig, Golden fig",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,ficuaure,Human Observation,2004-04-29,BICY,418-38,NA,25.8155,-81.0426,25.8146,-81.0412,WGS84,314,Cell #AI50,"17N 2855253 E, 495730 N",UTM,WGS84,1,270,418,38,-81.04354740802444,25.815499996912624,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-05-18,BICY,365-61,NA,26.2236,-81.0959,26.2228,-81.0936,WGS84,314,Cell #AD05,"17N 2900452 E, 490421 N",UTM,WGS84,1,130,365,61,-81.09473094257677,26.22271522358408,species,A,A,A
Paspalum monostachyum,Gulfdune paspalum,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,paspmono,Human Observation,2004-03-03,BICY,381-88,NA,26.1969,-81.3017,26.1979,-81.3003,WGS84,314,Cell #I08,"17N 2897525 E, 469858 N",UTM,WGS84,1,80,381,88,-81.29953233759228,26.19724480041664,species,A,A,A
Cladium jamaicense,"Saw-grass, Jamaica swamp sawgrass",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,cladjama,Human Observation,2003-01-03,BICY,461-80,NA,26.1999,-80.9036,26.1995,-80.9062,WGS84,314,Cell #AW08,"17N 2897822 E, 509630 N",UTM,WGS84,1,260,461,80,-80.90557064160309,26.199586516848427,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2003-02-13,BICY,479-91,NA,25.9309,-81.0264,25.9302,-81.0289,WGS84,314,Cell #AK37,"17N 2868028 E, 497353 N",UTM,WGS84,1,250,479,91,-81.0285340275839,25.93019764888485,species,A,A,A
Eupatorium capillifolium,Dog-fennel,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,eupacapi,Human Observation,2004-05-06,BICY,340-22,NA,26.2422,-81.0507,26.2425,-81.0531,WGS84,314,Cell #AH03,"17N 2902502 E, 494939 N",UTM,WGS84,1,280,340,22,-81.0512421243163,26.242286202622427,species,A,A,A
Hyptis alata,"Musky mint, Clustered bushmint",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,hyptalat,Human Observation,2002-07-17,BICY,163-16,NA,26.0432,-81.0379,26.0411,-81.0375,WGS84,314,"Cell #AJ25, Central Pines","17N 2880474 E, 496209 N",UTM,WGS84,1,180,163,16,-81.0379,26.042838952191598,species,A,A,A
Rhizophora mangle,Red mangrove,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,rhizmang,Human Observation,2004-03-25,BICY,375-32,NA,25.8429,-81.3738,25.8434,-81.3763,WGS84,314,"Cell #B47,endpoint estimated using arcmap","17N 2858345 E, 462537 N",UTM,WGS84,1,240,375,32,-81.37449108702471,25.842538940562743,species,A,A,A
Pluchea rosea,Rosy camphorweed,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,plucrose,Human Observation,2003-02-11,BICY,492-89,NA,25.8735,-81.2566,25.8756,-81.2553,WGS84,314,Cell #N44,"17N 2861698 E, 474294 N",UTM,WGS84,1,50,492,89,-81.25489935389973,25.8747909487821,species,A,A,A
Ocotea coriacea,Lancewood,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,ocotcori,Human Observation,2003-11-26,BICY,475-20,NA,25.8062,-80.8845,25.8065,-80.8823,WGS84,314,Cell #AY51,"17N 2854223 E, 511582 N",UTM,WGS84,1,250,475,20,-80.88496852719378,25.80604563716998,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-04-01,BICY,403-78,NA,26.1781,-81.0927,26.1803,-81.0924,WGS84,314,Cell #AD10,"17N 2895406 E, 490734 N",UTM,WGS84,1,10,403,78,-81.09236126678036,26.179833334986505,species,A,A,A
Aristida purpurascens,Arrowfeather threeawn,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,arispurp,Human Observation,2004-03-11,BICY,397-3,NA,25.7899,-80.9758,25.7898,-80.9782,WGS84,314,Cell #AP53,"17N 2852419 E, 502423 N",UTM,WGS84,1,270,397,3,-80.9758747793026,25.78989999998078,species,A,A,A
NA,NA,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,NA,Human Observation,2002-05-17,BICY,186-69,NA,26.0077,-81.2502,26.0099,-81.2509,WGS84,314,Cell #N29/185,"17N 2876558 E, 474962 N",UTM,WGS84,1,350,186,69,-81.25049921430934,26.0092333710836,NA,A,R,A
Coccoloba diversifolia,"Pigeonplum, Tietongue",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,coccdive,Human Observation,2003-11-26,BICY,476-69,NA,25.8062,-80.8845,25.804,-80.8852,WGS84,314,Cell #AY51,"17N 2854223 E, 511582 N",UTM,WGS84,1,210,476,69,-80.88536006986855,25.804851535538003,species,A,A,A
Rapanea punctata,"Myrsine, Colicwood",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,rapapunc,Human Observation,2004-04-01,BICY,327-73,NA,26.179,-81.0835,26.1788,-81.0859,WGS84,314,Cell #AE10,"17N 2895514 E, 491661 N",UTM,WGS84,1,270,327,73,-81.08532562985383,26.178999988422035,species,A,A,A
Quercus virginiana,Virginia live oak,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,quervirg,Human Observation,2004-05-05,BICY,328-87,NA,26.2408,-81.0341,26.243,-81.0343,WGS84,314,Cell #AJ03,"17N 2902357 E, 496596 N",UTM,WGS84,1,0,328,87,-81.0341,26.24276314328995,species,A,A,A
Hymenocallis palmeri,Alligatorlily,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,hymepalm,Human Observation,2002-05-28,BICY,208-13,NA,26.2207,-81.1821,26.2226,-81.1838,WGS84,314,Cell #U05,"17N 2900139 E, 481814 N",UTM,WGS84,1,325,208,13,-81.18228654349332,26.220940293302988,species,A,A,A
Chrysobalanus icaco,Coco-plum,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,chryicac,Human Observation,2002-11-05,BICY,272-72,NA,25.9062,-81.22,25.9078,-81.2214,WGS84,314,Cell #Q40,"17N 2865313 E, 477963 N",UTM,WGS84,1,325,272,72,-81.22103041832507,25.907530910106082,species,A,A,A
Panicum virgatum,Switchgrass,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,panivirg,Human Observation,2002-05-22,BICY,213-2,NA,25.7595,-81.0428,25.7604,-81.0449,WGS84,314,Cell #AI56,"17N 2849056 E, 495705 N",UTM,WGS84,1,280,213,2,-81.04284908298605,25.7595078372099,species,A,A,A
Myrica cerifera,"Wax myrtle, Southern Bayberry",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,myriceri,Human Observation,2002-06-05,BICY,265-16,NA,26.0206,-81.1546,26.0204,-81.1545,WGS84,314,Cell #X28,"17N 2877975 E, 484532 N",UTM,WGS84,1,210,265,16,-81.15479979917771,26.02028732231089,species,A,A,A
Sabal palmetto,Cabbage palm,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sabapalm,Human Observation,2004-03-17,BICY,379-12,NA,26.186,-81.343,26.1838,-81.3428,WGS84,314,Cell #E09,"17N 2896326 E, 465728 N",UTM,WGS84,1,180,379,12,-81.343,26.18572921950922,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-06-02,BICY,356-85,NA,25.9555,-81.0064,25.9541,-81.0043,WGS84,314,Cell #AM35,"17N 2870752 E, 499364 N",UTM,WGS84,1,135,356,85,-81.00489974677217,25.95414369787102,species,A,A,A
Sabal palmetto,Cabbage palm,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sabapalm,Human Observation,2002-08-01,BICY,254-62,NA,26.1693,-81.2554,26.1694,-81.2578,WGS84,314,Cell #N11,"17N 2894454 E, 474478 N",UTM,WGS84,1,280,254,62,-81.25692685563064,26.16954293190904,species,A,A,A
Quercus laurifolia,"Laurel oak, Diamond oak",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,querlaur,Human Observation,2002-07-31,BICY,253-67,NA,26.0454,-81.3423,26.0451,-81.3397,WGS84,314,Cell #E25,"17N 2880757 E, 465755 N",UTM,WGS84,1,110,253,67,-81.34072726737581,26.044882895543335,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-03-26,BICY,415-52,NA,26.2242,-81.0649,26.2219,-81.0648,WGS84,314,Cell #AG05,"17N 2900516 E, 493515 N",UTM,WGS84,1,175,415,52,-81.06478661579294,26.223031089037942,species,A,A,A
Mikania scandens,"Climbing hempweed, Climbing hempvine",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,mikascan,Human Observation,2003-02-06,BICY,456-34,NA,25.9529,-81.3444,25.9545,-81.3457,WGS84,314,Cell #E35,"17N 2870515 E, 465524 N",UTM,WGS84,1,325,456,34,-81.34488677537823,25.953528482218267,species,A,A,A
Toxicodendron radicans,Eastern poison-ivy,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,toxiradi,Human Observation,2002-08-07,BICY,258-3,NA,26.1609,-81.2653,26.1615,-81.263,WGS84,314,Cell #M12,"17N 2893533 E, 473488 N",UTM,WGS84,1,80,258,3,-81.2652261253271,26.16091175515651,species,A,A,A
Laguncularia racemosa,White mangrove,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,lagurace,Human Observation,2004-03-25,BICY,374-47,NA,25.8429,-81.3738,25.8427,-81.3759,WGS84,314,Cell #B47,"17N 2858345 E, 462537 N",UTM,WGS84,1,270,374,47,-81.37497206394212,25.84289999527126,species,A,A,A
Tillandsia fasciculata var. densispica,"Stiff-leaved wild-pine, Cardinal airplant",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,tillfascdens,Human Observation,2002-06-05,BICY,264-19,NA,26.0206,-81.1546,26.0206,-81.1546,WGS84,314,Cell #X28,"17N 2877975 E, 484532 N",UTM,WGS84,1,160,264,19,-81.15443770368351,26.02019711081848,species,A,A,A
Panicum tenerum,Bluejoint panicum,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,panitene,Human Observation,2002-09-17,BICY,197-39,NA,25.7085,-80.9687,25.7065,-80.9691,WGS84,314,Cell #AQ62,"17N 2843408 E, 503144 N",UTM,WGS84,1,190,197,39,-80.96886869253706,25.707633275860616,species,A,A,A
Fraxinus caroliniana,"Water ash, Carolina ash, Pop ash",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,fraxcaro,Human Observation,2004-04-06,BICY,435-47,NA,25.8173,-81.1012,25.8194,-81.102,WGS84,314,"Cell #AC50, endpoint corrected using arcmap","17N 2855456 E, 489854 N",UTM,WGS84,1,350,435,47,-81.10140348477688,25.81834449769692,species,A,A,A
NA,NA,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,NA,Human Observation,2003-02-20,BICY,496-51,NA,25.9524,-80.9397,25.9546,-80.9388,WGS84,314,Cell #AT35,"17N 2870419 E, 506034 N",UTM,WGS84,1,25,496,51,-80.93916200714683,25.953443027148317,NA,A,R,A
Nephrolepis exaltata,Wild Boston fern,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,nephexal,Human Observation,2004-04-09,BICY,442-84,NA,25.7911,-81.0952,25.7893,-81.0965,WGS84,314,Cell #AD53,"17N 2852556 E, 490453 N",UTM,WGS84,1,215,442,84,-81.09640096253148,25.789547237394085,species,A,A,A
Pluchea rosea,Rosy camphorweed,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,plucrose,Human Observation,2004-06-08,BICY,348-68,NA,25.8547,-81.0005,25.8568,-81.0001,WGS84,314,Cell #AM46,"17N 2859588 E, 499945 N",UTM,WGS84,1,30,348,68,-80.99965203033479,25.8560289073999,species,A,A,A
Blechnum serrulatum,"Swamp fern, Toothed midsorus fern",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,blecserr,Human Observation,2002-07-31,BICY,195-97,NA,26.0499,-81.3429,26.0497,-81.3404,WGS84,314,"Cell #E24, Deep Lake","17N 2881252 E, 465701 N",UTM,WGS84,1,100,195,97,-81.34051364772196,26.049519890418832,species,A,A,A
Rhynchospora divergens,Spreading beaksedge,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,rhyndive,Human Observation,2004-06-01,BICY,317-54,NA,25.9346,-81.0368,25.9348,-81.0343,WGS84,314,Cell #AJ37,"17N 2868446 E, 496319 N",UTM,WGS84,1,85,317,54,-81.03545745969187,25.934706197811966,species,A,A,A
Cladium jamaicense,"Saw-grass, Jamaica swamp sawgrass",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,cladjama,Human Observation,2002-04-09,BICY,180-93,NA,26.1888,-81.2352,26.1866,-81.2357,WGS84,314,Cell #3893; P09,"17N 2896616 E, 476496 N",UTM,WGS84,1,150,180,93,-81.23403701955594,26.18698259923732,species,A,A,A
Sagittaria graminea var. chapmanii,Chapman's arrowhead,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sagigramchap,Human Observation,2004-04-29,BICY,404-34,NA,25.8211,-81.0303,25.8192,-81.0318,WGS84,314,Cell #AJ50,"17N 2855868 E, 496959 N",UTM,WGS84,1,220,404,34,-81.03084490169276,25.820512251283947,species,A,A,A
Rhynchospora divergens,Spreading beaksedge,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,rhyndive,Human Observation,2003-02-07,BICY,493-73,NA,25.8691,-81.0272,25.8679,-81.0294,WGS84,314,Cell #AK44,"17N 2861184 E, 497273 N",UTM,WGS84,1,250,493,73,-81.02891102275343,25.86853657320384,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-03-31,BICY,320-11,NA,26.1331,-81.0631,26.1321,-81.0609,WGS84,314,Cell #AG15,"17N 2890423 E, 493688 N",UTM,WGS84,1,120,320,11,-81.06286185427768,26.13297589116773,species,A,A,A
Paspalum monostachyum,Gulfdune paspalum,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,paspmono,Human Observation,2003-02-13,BICY,477-12,NA,25.9287,-81.0161,25.9266,-81.0156,WGS84,314,Cell #AL38,"17N 2867787 E, 498386 N",UTM,WGS84,1,170,477,12,-81.01604799826556,25.928433323760995,species,A,A,A
Rhynchospora divergens,Spreading beaksedge,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,rhyndive,Human Observation,2004-05-12,BICY,360-79,NA,25.9514,-80.9266,25.9531,-80.928,WGS84,314,Cell #AU35,"17N 2870304 E, 507352 N",UTM,WGS84,1,330,360,79,-80.92758594646658,25.9529438566219,species,A,A,A
Hydrilla verticillata,Water-thyme,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,hydrvert1,Human Observation,2004-05-07,BICY,297-17,NA,25.7238,-80.9174,25.7236,-80.9199,WGS84,314,"Cell #AV60, Hess Hammock","17N 2845103 E, 508290 N",UTM,WGS84,1,270,297,17,-80.91782351485675,25.7237999993846,species,A,A,A
Cladium jamaicense,"Saw-grass, Jamaica swamp sawgrass",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,cladjama,Human Observation,2002-07-11,BICY,159-96,NA,26.0975,-81.2848,26.0982,-81.2872,WGS84,314,Cell #K19,"17N 2886508 E, 471520 N",UTM,WGS84,1,295,159,96,-81.28697439621374,26.098415489026312,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-03-31,BICY,321-83,NA,26.1331,-81.0631,26.1352,-81.0633,WGS84,314,Cell #AG15,"17N 2890423 E, 493688 N",UTM,WGS84,1,0,321,83,-81.0631,26.1349729118762,species,A,A,A
Agalinis fasciculata,Beach false foxglove,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,agalfasc,Human Observation,2002-08-23,BICY,246-86,NA,25.8536,-81.2248,25.8555,-81.2262,WGS84,314,Cell #Q46,"17N 2859495 E, 477474 N",UTM,WGS84,1,330,246,86,-81.2258724254734,25.855280676390954,species,A,A,A
Blechnum serrulatum,"Swamp fern, Toothed midsorus fern",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,blecserr,Human Observation,2002-08-22,BICY,244-28,NA,25.9154,-81.2418,25.9144,-81.2439,WGS84,314,"Cell #O39, endpoint corrected using arcmap","17N 2866336 E, 475780 N",UTM,WGS84,1,245,244,28,-81.24243321524328,25.91513296945733,species,A,A,A
Taxodium distichum,Bald cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxodist,Human Observation,2002-08-01,BICY,255-91,NA,26.1693,-81.2554,26.1675,-81.2543,WGS84,314,Cell #N11,"17N 2894454 E, 474478 N",UTM,WGS84,1,170,255,91,-81.25500485357458,26.16727777184175,species,A,A,A
Taxodium ascendens,Pond cypress,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,taxoasce,Human Observation,2004-04-15,BICY,339-68,NA,26.252,-81.045,26.2518,-81.0431,WGS84,314,Cell #AI02,"17N 2903598 E, 495510 N",UTM,WGS84,1,100,339,68,-81.04332420751605,26.25173354295214,species,A,A,A
NA,NA,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,NA,Human Observation,2004-05-20,BICY,400-47,NA,26.2504,-80.8822,26.2525,-80.8815,WGS84,314,Cell #AY02,"17N 2903418 E, 511768 N",UTM,WGS84,1,20,400,47,-80.88179773878937,26.251396587934817,NA,A,R,A
Sabal palmetto,Cabbage palm,Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,sabapalm,Human Observation,2004-04-29,BICY,404-97,NA,25.8211,-81.0303,25.8192,-81.0318,WGS84,314,Cell #AJ50,"17N 2855868 E, 496959 N",UTM,WGS84,1,220,404,97,-81.03185455825667,25.819423181961362,species,A,A,A
Cladium jamaicense,"Saw-grass, Jamaica swamp sawgrass",Guide to the Vascular Plants of Florida. Second Edition. Richard P. Wunderlin and Bruce F. Hansen. 2003. University Press of Florida,cladjama,Human Observation,2004-05-07,BICY,368-56,NA,25.7236,-80.9208,25.7257,-80.9206,WGS84,314,Cell #AU60,"17N 2845078 E, 507948 N",UTM,WGS84,1,0,368,56,-80.9208,25.724863722858792,species,A,A,A
